Author,Date,Region,Sentence,Mistral 7b-instruction,p_mistral_vote,golden_label
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","noi siam partiti per dovere verso la città, e tutti noi siam stati spinti da fama e da una buona avventura.",2.0,"Noi, cacciati ed emarginati per il bene della città, e tutti privati di buona fama e fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,pregatevi per me agli dèi; le vostre preghiere valgono: e chi avrebbe vinto questa battaglia si chiedeva; ma io non sono stato sconfitto da lui.,2.0,"Pregaste gli dei per me; e le vostre preghiere furono efficaci: e se voi domandate chi ebbe fortuna in questa battaglia, io non fui vinto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","In una villa chiamata Vitermina, se i principi di scherani avessero probabilmente corso a quel tempo per vedere ciò che accadeva, Scipione alloggiò nella casa per prevenire forse loro forze.",2.0,"Una villa chiamata Vitermina, dato che numerosi principi di mercenari si recarono in quel periodo a vederlo per caso, Scipione, pensando che venissero per assalirlo, li alloggiò nella casa"
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"contro di lui e contro le sue sorelle, contro il regno e contro l'alto prezio della sua nobiltà e della sua famiglia.",2.0,"Contro di lui e contro le sue sorelle, e contro il regno e contro l'alta dignità della sua stirpe e della sua famiglia"
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando la nave si imbarcò e salpò in mare aperto per attraversare questo pericoloso passaggio, l'aria divenne nebulosa e piovosa.",3.0,"Allora, quando la nave si fu spinta e messa in alto mare per procedere dritta attraverso questo passaggio pericoloso, l'aria divenne nuvolosa e piovigginosa"
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Non salì su l'argine del fosso e su lo steccato, se da alto si potesse difendere, o in qualche modo passare oltre e salvare.",3.0,"Salì sull'argine del fosso e sullo steccato, per vedere se potessero difendersi dall'alto, o in qualche modo superare l'ostacolo e mettersi in salvo."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","""Il occhio dell'intelligenza è più alto. Perciò, oltrepassata la grandezza dell'università, quella stessa forma semplice vede nella sottile vista.""",5.0,"Ma l'occhio dell'intelligenza è più elevato. Infatti, superata la vastità dell'universo, esso vede quella medesima forma semplice con una percezione sottile"
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se l'occhio è un nobile membro del corpo dell'uomo, allora la salutazione è una nobile parte della pistola, in quanto illumina tutta la lettera come occhio illumina l'uomo.",3.0,"E se l'occhio è un membro nobile del corpo umano, allora il saluto è una parte nobile della lettera, poiché illumina l'intera lettera così come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Ionici, essendo nati da quelli di Sparta e formati da essa nobile città greca dei Lacedemoni.",3.0,"I Tarantini, che erano discendenti dagli Spartani, e la loro città divenne una nobile città greca."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Un uomo ricco e nobile si chiamava Orgentore.,3.0,"Presso gli Ulecoi, vi fu un uomo ricco e nobile: si chiamava Orgentore."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","""Purtroppo, se qualcosa nobile e alto è il nostro avversario, non meno commendabile è sapere mostrare clemenza.""",5.0,"Perché, se è nobile e grandioso abbattere il nemico, non è meno lodevole saper mostrare misericordia"
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandri, suo genero e figliolo di Phausonia, gentile giovane di Macedonia, rimasto in un luogo chiuso senza guardia, è morto.",2.0,"Alessandro, cioè il genero e il figlio, avuto da Phausonia, una nobile giovane di Macedonia, mentre si trovava in un luogo stretto e privo di protezione, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuni sono ricchi e gentili, ma lamentano siché desiderano avere una altra moglie chequella loro hanno.",2.0,"C’è qualcuno che è ricco e nobile, ma si lamenta perché vorrebbe avere un’altra moglie rispetto a quella che ha"
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, mostrato il popolo Gentile in figura, gli fu detto: uccidi, e mangia.",3.0,"A Pietro, essendogli mostrato in visione il popolo dei Gentili, fu detto: uccidi e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","il gentiluomo lo fece uscire dal suo impegno, in quel in cui lo aveva tenuto impegnato. Egli accordò, lo fece uscire e ne fece una scrittura.",2.0,"Lo pregò di liberarlo da quell’obbligazione, con cui lo aveva lasciato impegnato. Il gentiluomo acconsentì, lo liberò, e ne fece documento scritto."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriverà dall'Aquilone. Chi si intendiamo noi con Aquilone, se non il popolo Gentile congelato dal freddo del peccato, quel popolo tenne sotto il giogo della sua tirannia.",3.0,"L’oro verrà dall’Aquilone. Che cosa rappresentiamo noi con l’Aquilone, se non il popolo dei Gentili, congelato dal freddo del peccato, quel popolo che fu soggiogato sotto il giogo della sua tirannia?"
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Siete tra me e te: con noi non puoi più a lungo rimanere, poichè non lo sopporto e non ti lascerò.",2.0,"Sia fatta una separazione tra me e te: tu non puoi più restare a lungo con noi, perché io non lo tollererò né lo permetterò."
