Author,Date,Region,Sentence,Deepseek R1 qwen-8b,p_deepseek_vote,golden_label
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Gli esploratori dei Monti della Romagna furono fatti nuovi nemici; contro i quali fu combattuto con diverse sorti: perché nella prima battaglia, quando Valerio era console, 3000 degli Romani persi morirono.",2.0,"Dai monti dei Romani si presentarono nuovi nemici; contro di essi si è combattuto con esiti alterni: perché nella prima battaglia, essendo console Valerio, ne morirono 3500 di Romani"
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi colpevoli e divisi per il debito della città, e tutti i colpevoli a causa della fama e della buona fortuna.",2.0,"Noi, cacciati ed emarginati per il bene della città, e tutti privati di buona fama e fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Avete pregato i vostri dei per me; e i vostri preghi hanno avuto successo: e se domandate chi ha avuto la vittoria in questa battaglia, io non sono stato sconfitto da lui.",3.0,"Pregaste gli dei per me; e le vostre preghiere furono efficaci: e se voi domandate chi ebbe fortuna in questa battaglia, io non fui vinto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa si chiama Vitermina. Con ciò che più sorti i principi di scherani corressero per caso in quel tempo per vederlo, Scipione credeva che fossero venuti per attaccarlo, e quindi si è nascosto in casa.",2.0,"Una villa chiamata Vitermina, dato che numerosi principi di mercenari si recarono in quel periodo a vederlo per caso, Scipione, pensando che venissero per assalirlo, li alloggiò nella casa"
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"Contro di lui, contro le sue sorelle, contro il regno, e contro il prestigio della sua nascita e della sua famiglia.",2.0,"Contro di lui e contro le sue sorelle, e contro il regno e contro l'alta dignità della sua stirpe e della sua famiglia"
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quindi la nave fu ormeggiata e messa in mare aperto per affrontare direttamente questo periglioso transito, e l'aria divenne nuvolosa e piovigginosa.",3.0,"Allora, quando la nave si fu spinta e messa in alto mare per procedere dritta attraverso questo passaggio pericoloso, l'aria divenne nuvolosa e piovigginosa"
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salirono sul bordo del fosso e poi oltre il confine, se potessero difendersi dall'alto, oppure se avessero un mezzo per superarlo e salvarsi.",1.0,"Salì sull'argine del fosso e sullo steccato, per vedere se potessero difendersi dall'alto, o in qualche modo superare l'ostacolo e mettersi in salvo."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più elevato. Perciò, superata la grandezza dell'università, quella medesima semplice forma percepisce in una visione sottile.",2.0,"Ma l'occhio dell'intelligenza è più elevato. Infatti, superata la vastità dell'universo, esso vede quella medesima forma semplice con una percezione sottile"
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobile del corpo dell'uomo, dunque la salutazione è una parte nobile della pistola, c'è altresì qualcosa che illumina tutta la lettera come l'occhio illumina l'uomo.",1.0,"E se l'occhio è un membro nobile del corpo umano, allora il saluto è una parte nobile della lettera, poiché illumina l'intera lettera così come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, i quali erano nati da quegli Sparti di Lacedemonia e fatti nobili dalla loro nobile cittade greca.",2.0,"I Tarantini, che erano discendenti dagli Spartani, e la loro città divenne una nobile città greca."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",L'uomo Ulecois era un uomo ricco e nobile: fu chiamato per nome da Orgentore.,2.0,"Presso gli Ulecoi, vi fu un uomo ricco e nobile: si chiamava Orgentore."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, se attaccare il nemico è un'azione nobile e importante, allora non è meno meritevole sapere come esercitare misericordia.",3.0,"Perché, se è nobile e grandioso abbattere il nemico, non è meno lodevole saper mostrare misericordia"
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, il figlio e il genero, provenienti da Phausonia, giovani di Macedonia, trovandosi in un luogo angusto e senza guardia, morirono.",2.0,"Alessandro, cioè il genero e il figlio, avuto da Phausonia, una nobile giovane di Macedonia, mentre si trovava in un luogo stretto e privo di protezione, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","C'è una persona che è ricca e gentile, ma si lamenta che vorrebbe avere un'altra moglie, diversa da quella che ha.",2.0,"C’è qualcuno che è ricco e nobile, ma si lamenta perché vorrebbe avere un’altra moglie rispetto a quella che ha"
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, mostratigli in visione il popolo dei Gentili, pertanto fu detto a Pietro: uccidi e mangia.",2.0,"A Pietro, essendogli mostrato in visione il popolo dei Gentili, fu detto: uccidi e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregai che lo liberasse da quella obbligazione, in quella che egli l'aveva redatta obbligandolo. Il gentile uomo acconsentì, e lo liberò, e ne fece un documento.",2.0,"Lo pregò di liberarlo da quell’obbligazione, con cui lo aveva lasciato impegnato. Il gentiluomo acconsentì, lo liberò, e ne fece documento scritto."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriverà dal Nord-Ovest. Se non siamo il popolo dei Gentili gelati dal freddo del peccato, in cosa rappresentiamo noi per il Nord-Ovest? Un popolo che ci ha sottomessi sotto il giogo della sua tirannia.",4.0,"L’oro verrà dall’Aquilone. Che cosa rappresentiamo noi con l’Aquilone, se non il popolo dei Gentili, congelato dal freddo del peccato, quel popolo che fu soggiogato sotto il giogo della sua tirannia?"
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.",Sia tu tra me e te: con noi non puoi già dimorare più a lungo e io non la sopporterò e non lo lascherò.,3.0,"Sia fatta una separazione tra me e te: tu non puoi più restare a lungo con noi, perché io non lo tollererò né lo permetterò."
